Name;RegistrationNo;BusinessType;Status;DateOfIncorporation;Agent
ESOR LTD.;11440;BC-Business Company;Active;12/10/2004 00:00;St. Vincent Trust Service Limited
ELM INTERNATIONAL LIMITED;4981;BC-Business Company;Active;21/10/1999 00:00;St. Vincent Trust Service Limited
ELMERS INVESTMENT LIMITED;19627;BC-Business Company;Active;20/07/2011 00:00;St. Vincent Trust Service Limited
PALMSPRINGS LIMITED;916;BC-Continued;Active;30/08/2000 00:00;St. Vincent Trust Service Limited
A.A. FAMILY TRUST;1068;International Trust;Active;30/08/2013 00:00;St. Vincent Trust Service Limited
ABCHURCH LIMITED;19866;BC-Business Company;Active;25/10/2011 00:00;St. Vincent Trust Service Limited
ACHMUN CREEK LTD.;21439;BC-Business Company;Active;11/07/2013 00:00;St. Vincent Trust Service Limited
Trade Finance Asset Management II Ltd.;21440;BC-Business Company;Active;11/07/2013 00:00;St. Vincent Trust Service Limited
ACORN SHIPPING AND TRADING LIMITED;1065;BC-Continued;Active;30/10/2001 00:00;St. Vincent Trust Service Limited
ACTIVE COMPONENT CORP.;14141;BC-Business Company;Active;16/10/2006 00:00;St. Vincent Trust Service Limited
ADKA S.A.;5256;BC-Business Company;Active;23/11/1999 00:00;St. Vincent Trust Service Limited
ADRIA VENTURES INC.;9758;BC-Business Company;Active;18/09/2002 00:00;St. Vincent Trust Service Limited
ADRIATIC SHIPPING CO. LIMITED;11951;BC-Business Company;Active;04/04/2005 00:00;St. Vincent Trust Service Limited
AEGIR CHARTERS LTD.;10798;BC-Business Company;Active;06/02/2004 00:00;St. Vincent Trust Service Limited
AKABA LIMITED;17105;BC-Business Company;Active;05/09/2008 00:00;St. Vincent Trust Service Limited
AKRA NAVIGATION INC.;302;BC-Business Company;Active;09/04/1997 00:00;St. Vincent Trust Service Limited
ALANDO HOLDINGS LIMITED;18905;BC-Business Company;Active;01/10/2010 00:00;St. Vincent Trust Service Limited
ALGA FINANCE LIMITED;175;BC-Continued;Active;05/12/1997 00:00;St. Vincent Trust Service Limited
ALLIANZ MIDDLE EAST OFFSHORE SHIP MANAGEMENT LTD.;24149;BC-Business Company;Active;21/07/2017 00:00;St. Vincent Trust Service Limited
ALLIANZ OFFSHORE ABU DHABI LTD;23612;BC-Business Company;Active;16/09/2016 00:00;St. Vincent Trust Service Limited
ALLUVIN LIMITED;1129;BC-Continued;Active;28/01/2002 00:00;St. Vincent Trust Service Limited
ALMARINE SHIPPING LIMITED;11620;BC-Business Company;Active;10/12/2004 00:00;St. Vincent Trust Service Limited
ALMILOCA LDC;18557;BC-Limited Duration Company;Active;21/04/2010 00:00;St. Vincent Trust Service Limited
ALPHINGTON LTD.;22223;BC-Business Company;Active;09/07/2014 00:00;St. Vincent Trust Service Limited
ALUSIL HOLDING LTD.;8438;BC-Business Company;Active;21/05/2001 00:00;St. Vincent Trust Service Limited
ALVORADA HOLDING LTD.;13743;BC-Business Company;Un-Assigned Agent;23/06/2006 00:00;St. Vincent Trust Service Limited
AMENDOIN LTD.;21835;BC-Business Company;Active;28/11/2013 00:00;St. Vincent Trust Service Limited
AMMAR OFFSHORE SERVICES LTD.;10955;BC-Business Company;Active;14/04/2004 00:00;St. Vincent Trust Service Limited
ANAGE MANAGEMENT S.A.;18642;BC-Business Company;Active;08/06/2010 00:00;St. Vincent Trust Service Limited
ANDALA SHIPPING COMPANY LTD.;11716;BC-Business Company;Active;07/01/2005 00:00;St. Vincent Trust Service Limited
ANDIAMO INC.;10673;BC-Business Company;Active;09/01/2004 00:00;St. Vincent Trust Service Limited
ANEVAN INVESTMENT LIMITED;192;BC-Continued;Active;11/12/1997 00:00;St. Vincent Trust Service Limited
ANGEL EYES LTD.;15229;BC-Business Company;Active;08/06/2007 00:00;St. Vincent Trust Service Limited
ANISIA LIMITED;12990;BC-Business Company;Active;25/11/2005 00:00;St. Vincent Trust Service Limited
ANKA TRADE INC.;12170;BC-Business Company;Active;12/05/2005 00:00;St. Vincent Trust Service Limited
ANTICOS LIMITED;1652;BC-Business Company;Active;20/05/1998 00:00;St. Vincent Trust Service Limited
ARABELLA SHIPPING LIMITED;11193;BC-Business Company;Active;07/07/2004 00:00;St. Vincent Trust Service Limited
ARANO TRADE LTD.;17985;BC-Business Company;Active;26/08/2009 00:00;St. Vincent Trust Service Limited
ARDAN CORP.;23047;BC-Business Company;Active;19/11/2015 00:00;St. Vincent Trust Service Limited
ARISTO MANAGEMENT LIMITED;518;BC-Business Company;Active;23/06/1997 00:00;St. Vincent Trust Service Limited
ARTEMIS OFFSHORE INC.;18783;BC-Business Company;Active;12/08/2010 00:00;St. Vincent Trust Service Limited
ARUFA INC.;23937;BC-Business Company;Active;29/03/2017 00:00;St. Vincent Trust Service Limited
ASIAN DEVELOPMENT CO., LTD.;18474;BC-Business Company;Active;18/03/2010 00:00;St. Vincent Trust Service Limited
ASIAN MARINE CO. LTD.;4514;BC-Business Company;Active;18/08/1999 00:00;St. Vincent Trust Service Limited
ASIAN MARITIME LIMITED;9618;BC-Business Company;Active;26/06/2002 00:00;St. Vincent Trust Service Limited
ASIAN MERCHANT MARINE LIMITED;10282;BC-Business Company;Active;22/07/2003 00:00;St. Vincent Trust Service Limited
ASIAN SALVAGE AND TOWAGE LIMITED;788;BC-Continued;Active;12/08/1999 00:00;St. Vincent Trust Service Limited
ASIAN SPECIAL DEVELOPMENT LTD.;18541;BC-Business Company;Active;12/04/2010 00:00;St. Vincent Trust Service Limited
ASIAN TOWAGE DEVELOPMENT LTD.;18473;BC-Business Company;Active;18/03/2010 00:00;St. Vincent Trust Service Limited
AVATANAK INC.;23720;BC-Business Company;Active;23/11/2016 00:00;St. Vincent Trust Service Limited
AVEIDA INC.;19519;BC-Business Company;Active;09/06/2011 00:00;St. Vincent Trust Service Limited
AZTEC VENTURES LTD;8910;BC-Business Company;Active;24/10/2001 00:00;St. Vincent Trust Service Limited
BABCIA MANIA LIMITED;16712;BC-Business Company;Active;15/05/2008 00:00;St. Vincent Trust Service Limited
BALANCE LIMITED;14466;BC-Business Company;Active;02/01/2007 00:00;St. Vincent Trust Service Limited
BAOYUAN SHIPPING CO., LTD.;10249;BC-Business Company;Active;26/06/2003 00:00;St. Vincent Trust Service Limited
BARO CORP.;22036;BC-Business Company;Active;25/03/2014 00:00;St. Vincent Trust Service Limited
BARROW HILL LIMITED;19867;BC-Business Company;Active;25/10/2011 00:00;St. Vincent Trust Service Limited
BASSHURST LIMITED;19257;BC-Business Company;Active;10/03/2011 00:00;St. Vincent Trust Service Limited
BATTERSEA DEVELOPMENT LTD.;1460;BC-Continued;Active;02/09/2010 00:00;St. Vincent Trust Service Limited
BATTISTA MARINE SERVICES LTD.;13576;BC-Business Company;Active;12/05/2006 00:00;St. Vincent Trust Service Limited
BEDFONT LIMITED;140;BC-Continued;Active;20/11/1997 00:00;St. Vincent Trust Service Limited
BELLPORT CORP.;11986;BC-Business Company;Active;11/04/2005 00:00;St. Vincent Trust Service Limited
BENTON FINANCE LIMITED;969;BC-Continued;Active;12/04/2001 00:00;St. Vincent Trust Service Limited
BIGFOOT MANAGEMENT LTD.;17327;BC-Business Company;Active;03/11/2008 00:00;St. Vincent Trust Service Limited
BIMINI CORP.;23722;BC-Business Company;Active;23/11/2016 00:00;St. Vincent Trust Service Limited
Agio Global Limited;13965;BC-Business Company;Active;30/08/2006 00:00;St. Vincent Trust Service Limited
BLACKFRIARS LIMITED;16431;BC-Business Company;Active;25/03/2008 00:00;St. Vincent Trust Service Limited
BLACKHAWK LIMITED;17482;BC-Business Company;Active;05/01/2009 00:00;St. Vincent Trust Service Limited
BLACKWELL LIMITED;14939;BC-Business Company;Active;05/04/2007 00:00;St. Vincent Trust Service Limited
BLOOMFIELD MANAGEMENT LTD.;16492;BC-Business Company;Active;08/04/2008 00:00;St. Vincent Trust Service Limited
BLOOMSBURY CORP.;19870;BC-Business Company;Active;25/10/2011 00:00;St. Vincent Trust Service Limited
BLUE WATER INC.;4960;BC-Business Company;Active;15/10/1999 00:00;St. Vincent Trust Service Limited
BLUERIBBON LIMITED;14530;BC-Business Company;Active;08/01/2007 00:00;St. Vincent Trust Service Limited
BLUERIVER GROUP LTD.;21721;BC-Business Company;Active;25/10/2013 00:00;St. Vincent Trust Service Limited
BOA LTD.;13677;BC-Business Company;Active;06/06/2006 00:00;St. Vincent Trust Service Limited
BOB THE BOAD CO. LTD.;17294;BC-Business Company;Active;28/10/2008 00:00;St. Vincent Trust Service Limited
BODENSEE IMMOBILIEN A.G.;17389;BC-Business Company;Active;21/11/2008 00:00;St. Vincent Trust Service Limited
BOHA INVESTMENT LTD.;19473;BC-Business Company;Active;20/05/2011 00:00;St. Vincent Trust Service Limited
BRANCUSI CLASSICS LTD.;12885;BC-Business Company;Active;20/10/2005 00:00;St. Vincent Trust Service Limited
BRANDTS INVESTMENTS & TRADING LIMITED;1230;BC-Continued;Active;24/05/2007 00:00;St. Vincent Trust Service Limited
BROADWALL LTD.;1503;BC-Continued;Active;16/09/2013 00:00;St. Vincent Trust Service Limited
BROOJ SHIPPING LTD.;5059;BC-Business Company;Active;04/11/1999 00:00;St. Vincent Trust Service Limited
BRIGHTSTAR INVESTMENTS LTD.;1394;BC-Continued;Active;28/10/2008 00:00;St. Vincent Trust Service Limited
BTT LTD.;22918;BC-Business Company;Active;04/09/2015 00:00;St. Vincent Trust Service Limited
BUENA SUERTE LTD.;18186;BC-Business Company;Active;18/11/2009 00:00;St. Vincent Trust Service Limited
BUKEFALOS LTD.;15253;BC-Business Company;Active;12/06/2007 00:00;St. Vincent Trust Service Limited
BURKE BUSINESS LIMITED;23238;BC-Business Company;Active;25/02/2016 00:00;St. Vincent Trust Service Limited
BURNTWOOD INC.;19624;BC-Business Company;Active;20/07/2011 00:00;St. Vincent Trust Service Limited
BURRIS LIMITED;23237;BC-Business Company;Active;25/02/2016 00:00;St. Vincent Trust Service Limited
BVC-BRAZILIAN VENTURE CAPITAL LTD.;1461;BC-Continued;Active;02/09/2010 00:00;St. Vincent Trust Service Limited
BW FINANCIAL LTD.;22308;BC-Business Company;Active;09/09/2014 00:00;St. Vincent Trust Service Limited
C.EN. LIMITED;1459;BC-Continued;Active;22/07/2010 00:00;St. Vincent Trust Service Limited
C.H.M. MARINE, LTD.;9975;BC-Business Company;Active;14/02/2003 00:00;St. Vincent Trust Service Limited
CAITHNESS LIMITED;10120;BC-Business Company;Active;15/05/2003 00:00;St. Vincent Trust Service Limited
CALGARY CONSULTING LTD;2141;BC-Business Company;Active;10/09/1998 00:00;St. Vincent Trust Service Limited
CALYACHT LDC;10641;BC-Limited Duration Company;Active;29/12/2003 00:00;St. Vincent Trust Service Limited
CANTO LIMITED;9706;BC-Business Company;Active;14/08/2002 00:00;St. Vincent Trust Service Limited
CARILLON CORPORATION S.A.;18908;BC-Business Company;Active;01/10/2010 00:00;St. Vincent Trust Service Limited
CARISBROOK LTD.;21441;BC-Business Company;Active;11/07/2013 00:00;St. Vincent Trust Service Limited
CARMAN LIMITED;19625;BC-Business Company;Active;20/07/2011 00:00;St. Vincent Trust Service Limited
